;;;;;;Ассортимент;;;;;Ассортимент США;;;;;;Краткие описания;;;;;;ID_CISS;;;;;;;;;;ID_PRINTER_CISS;;;;;;;;;;;ID_PRINTER_RC;;;;;;;;;;ID_SVODNAY_CISS;;;;;;;;ID_CARTRIDGE;;;;;;;;ID_CARTRIDGE_SVODNAYA;;;;;;;;ID_INK_SET;;;;;;;;ID_INK_SEPARETED;;;;;;;;Фильтр поиска по модели;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Цены на официальном сайте;;;;;;;;;;;;Цены на пустые СНПЧ;;;;;;;;;;Цены на пустые ПЗК;;;;;;;;;;Цены на Чернила 100 мл;;;;Цены на принтеры;;;;;;;;;;Цена на оригиналы;;;;;;Наличие на складе Принтеров;;Наличие на складе СНПЧ;;Наличие на складе ПЗК;;Наличие на складе чернил;;;;;
337;164;29;16429;Epson Stylus DX5050;;0;0;0;1;;0;0;0;0;0;;Niezale?nie od tego, czy skanujesz i drukujesz dokumenty czarno-bia?e, czy kopiujesz kolorowe zdj?cia o wysokim po?ysku – zawsze mo?esz liczy? na najwy?sz? jako?? wydruku. A wszystko w szybki i prosty spos?b: dokumenty drukuj? si? z maksymaln? szybko?ci? 27 stron na minut?, a wydruk zdj?cia w formacie Premium 10 x 15 cm trwa zaledwie kilka sekund – nawet bez komputera.;;Whether you’re scanning and printing black and white documents, or copying glossy photos, you can be sure of the highest quality output with this All-in-One. It’s so simple and fast – you can print documents at up to 27 pages per minute and print a 10x15cm photo in seconds – even without a PC.;;;;4652;;1105;1055;4335;1055;;1019;429;1200;;;984;1328;4253;2191;;2046;;;;;;1405;;;;;;;;329/429/660;329;429;329;329;;329;329;5070;;1274;1193;7689;4394;2494;1633;875;875;;;;;;;;;;;;;;;;;1560;;4206;;;;Epson;D/DX;DX5050;home;;office;;desktop;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;A4;27;26;3;100;1;1;5760x1440;6,5 кг;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;90 сопла каждого цвета;"Windows 98SE/ME/2000/XP;\n-Mac OS 10.2.8";430 x 354 x 181 мм;13 Вт;;12;ч.б.A4 1200dpi 10.0mSec/line,цвет A4 1200dpi 30.0mSec/line;;1200 x 2400 DPI;220 - 240 V;50 ~ 60 Гц;;;71,48;;;;;T0711-T0714 ;;;T0711-T0714 ;4;38,9;49,9;199,6;42,9;1499;299;510300;6999;1200;99;24,9;29,9;119,6;25,9;;;;;;;23,96;27,96;111,84;23,96;;58,55;245,68;50,036;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
338;164;30;16430;Epson Stylus DX4050;;0;0;0;1;;0;0;0;0;0;;;;The Epson DX4000 printer offers a complete printing and copying solution for the whole family. Ideal for all types of application, from school projects and web printing to photos, it can be used connected to your home PC or simply used as a colour photocopier in standalone mode.;Drei Aufgaben, eine L?sung – Drucker, Kopierer und Scanner in einem Ger?t: maximale Leistung und einfache Bedienung.Kostensparend – Dank separater Individual Ink-Patronen brauchen Sie nur die verbrauchte Farbe zu ersetzen.Ideal f?rs Home Office – Hohe Qualit?t und Vielseitigkeit f?r alle privaten und gesch?ftlichen Aktivit?ten;;;4653;;1106;1056;4336;1056;;1020;;;;;985;1329;4254;2278;;2038;;;;;;1406;;;;;;;;329/660;329;;329;329;;329;329;5071;;1275;1194;7690;4395;2495;1634;875;875;;;;;;;;;;;;;;;;;1561;;4207;;;;Epson;D/DX;DX4050;home;;office;;desktop;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;A4;23;12;4;100;1;1;5760x1440;5,7 кг;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;90 сопла каждого цвета;Windows 98SE/ME/2000/XP/XP x64\nMac OS 10.2.8;430 x 345 x 172 мм;10 Вт;;12;ч.б. 5 симв/мин,цвет11 симв/мин ;;600 x 600 DPI;220-240V;50 ~ 60 Гц;;;61,27;;;;;T0711-T0714 ;;;T0711-T0714 ;4;38,9;49,9;199,6;42,9;;;;;;;24,9;29,9;119,6;25,9;;;;;;;23,96;27,96;111,84;23,96;;50,19;210,59;42,89;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
339;164;31;16431;Epson Stylus DX8450;;0;0;0;1;;0;0;0;0;0;;;;;;;;4654;;1107;1057;4337;1057;;1021;433;1259;;;986;1330;4255;2197;;2053;;;;;;1407;;;;;;;;329;329;433;329;329;;329;329;5072;;1276;1195;7691;4396;2496;1635;875;875;;;;;;;;;;;;;;;;;1562;;4208;;;;Epson;D/DX;DX8450;home;;office;;desktop;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;A4;32;32;3;120;1;1;5760x1440;;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;;Windows 2000/XP/XP-x64/Vista, Mac OS 10.2.8+;450 x 340 x 179 мм;;;12;ч.б.30 симв/мин, цвет 30 симв/мин ;ч.б. 300dpi 2.2msec/line, ,цвет 300dpi 7.2msec/line,;1200 x 2400 DPI ;220-240V;50 ~ 60 Гц;;;102,12;;;;;T0711-T0714;;;T0711-T0714 ;4;38,9;49,9;199,6;42,9;1499;299;510300;6999;1200;99;24,9;29,9;119,6;25,9;;;;;;;23,96;27,96;111,84;23,96;;83,64;350,99;71,49;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
340;164;32;16432;Epson Stylus DX8400;;0;0;0;1;;0;0;0;0;0;;To zaawansowane technicznie urz?dzenie wielofunkcyjne do drukowania, skanowania i kopiowania idealnie nadaje si? do sporz?dzania dokument?w i zdj?? wysokiej jako?ci. Mo?na przy tym wykonywa? praktyczne wydruki z aparatu cyfrowego PictBridge lub z karty pami?ci. Na kolorowym, 6,3-centymetrowym wy?wietlaczu wida? wszystko jak na d?oni i nie ma potrzeby korzystania z komputera.;;The Epson Stylus DX8400 is ideal for the home and small office user, offering a complete printing and copying solution. It provides high-quality direct printing using either memory card slots or PictBridge, together with an 2.5” LCD preview monitor for simple photo selection.;Dieses fortschrittliche All-in-One-Ger?t zum Drucken, Scannen und Kopieren eignet sich perfekt f?r hochwertige Dokumente und Fotos. Sie k?nnen ganz praktisch direkt von Ihrer Digitalkamera ?ber PictBridge oder von Ihrer Speicherkarte drucken. Auf dem 6,3 cm gro?en Farbdisplay haben Sie alles im Griff und brauchen nicht mal Ihren PC.;;;4655;;1108;1058;4338;1058;;1022;329;1307;;;987;1331;4256;2198;;2052;;;;;;1408;;;;;;;;329;329;329;329;329;;329;329;5073;;1277;1196;7692;4397;2497;1636;875;875;;;;;;;;;;;;;;;;;1563;;4209;;;;Epson;D/DX;DX8400;home;;office;;desktop;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;A4;32;32;3;120;1;1;5760x1440;5,9 кг;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;255 г/м2;;;;Windows 2000/XP/XP-x64/Vista, Mac OS 10.2.8+;450x179x340  мм ;;41 дБ;12;29 (ч/б А4), 29 (цветн. А4)  стр/мин;ч.б.2.2 мсек/линия 300dpi,Цветн.  7.2 мсек/линия 300dpi; 1200 x 2400 DPI ;220-240V ;50 ~ 60 Гц;;;102,12;;;;;T0711-T0714 ;;;T0711-T0714 ;4;38,9;49,9;199,6;42,9;1499;299;510300;6999;1200;99;24,9;29,9;119,6;25,9;;;;;;;23,96;27,96;111,84;23,96;;83,64;350,99;71,49;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
341;164;33;16433;Epson Stylus DX7450;;0;0;0;1;;0;0;0;0;0;;Drukowanie, skanowanie i kopiowanie w domu lub w biurze, tak?e bez konieczno?ci posiadania komputera. Niezwykle wyra?ne teksty lub zdj?cia w ?ywych barwach? To urz?dzenie wielofunkcyjne oferuje doskona?? jako?? i elastyczno?? w przyst?pnej cenie.;;;Drucken, scannen und kopieren Sie zu Hause oder im B?ro, auch ganz ohne Computer. Gestochen scharfe Texte oder brillante Fotos – dieses All-in-One-Ger?t bietet herausragende Qualit?t und Flexibilit?t bei einem guten Preis-Leistungs-Verh?ltnis.;;;4656;;1109;1059;4339;1059;;1023;433;1258;;;988;1332;4257;2196;;2051;;;;;;1409;;;;;;;;433;433;433;;433;;433;433;5074;;1278;1197;7693;4398;2498;1637;;;;;;;;;;;;;;;;;;;1564;;4210;;;;Epson;D/DX;DX7450;home;;office;;desktop;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;A4;32;32;3;120;1;1;5760x1440;;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;; Windows 2000/XP/XP-x64/Vista, Mac OS 10.2.8+;450 x 340 x 179 мм ;;;12;ч.б.30 симв/мин ,цвет 30 симв/мин ;ч.б.300dpi 2.2msec/line, цвет  300dpi 7.2msec/line, ; 1200 x 2400 DPI ;220-240V;50 ~ 60 Гц;;;81,7;;;;;T0711-T0714 ;;;T0711-T0714 ;4;38,9;49,9;199,6;42,9;299;510300;6999;1200;99;;24,9;29,9;119,6;25,9;;;;;;;23,96;27,96;111,84;23,96;;66,91;280,81;57,19;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
342;164;34;16434;Epson Stylus DX7400;;0;0;0;1;;0;0;0;0;0;;Drukowanie, skanowanie i kopiowanie w domu lub w biurze, tak?e bez konieczno?ci posiadania komputera. Niezwykle wyra?ne teksty lub zdj?cia w ?ywych barwach? To urz?dzenie wielofunkcyjne oferuje doskona?? jako?? i elastyczno?? w przyst?pnej cenie.;;The Epson Stylus DX7400 is ideal for the home and small office user, offering a complete printing and copying solution. It provides high-quality direct printing using either memory card slots or PictBridge, or simply used as a PC free colour photocopier.;Drucken, scannen und kopieren Sie zu Hause oder im B?ro, auch ganz ohne Computer. Gestochen scharfe Texte oder brillante Fotos – dieses All-in-One-Ger?t bietet herausragende Qualit?t und Flexibilit?t bei einem guten Preis-Leistungs-Verh?ltnis.;;;4657;;1110;1060;4340;1060;;1024;329;1306;;;989;1333;4258;2195;;2050;;;;;;1410;;;;;;;;433;433;329;;433;;433;433;5075;;1279;1198;7694;4399;2499;1451;;;;;;;;;;;;;;;;;;;1565;;4211;;;;Epson;D/DX;DX7400;home;;office;;desktop;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;A4;32;32;3;120;1;1;2400x1200;;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;90 сопла черного / 90 форсунок, для каждого цвета (голубой, пурпурный, желтый);Windows 98SE/Me/2000/XP/XP-x64/Vista\nMac OS 10.2.8;450 x 340 x 179 мм;12 Вт;;12;ч.б. и цвет 29 симв/мин ;;1200 x 2400 DPI ;220-240V;50 ~ 60 Гц;;;81,7;;;;;T0711-T0714 ;;;T0711-T0714 ;4;38,9;49,9;199,6;42,9;1499;299;510300;6999;1200;99;24,9;29,9;119,6;25,9;;;;;;;23,96;27,96;111,84;23,96;;66,91;280,81;57,19;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
343;164;35;16435;Epson Stylus DX9400F;;0;0;0;1;;0;0;0;0;0;;Dzi?ki urz?dzeniu Epson Stylus DX9400F zoptymalizujesz swoj? prac? w domu lub w biurze. Jest ono wyposa?one w automatyczny podajnik dokument?w przyspieszaj?cy skanowanie, kopiowanie i faksowanie wielostronicowych dokument?w.;;Taking a multi-functional device to a new level of excellence. This 4-in-1 allows you to fax, print, scan and copy all in one easy-to-use device;Mit dem Epson Stylus DX9400F optimieren Sie Ihre Arbeit zu Hause oder im B?ro. Er verf?gt ?ber einen automatischen Dokumenteneinzug zum schnellen Scannen, Kopieren und Faxen mehrseitiger Dokumente.;;;4658;;1111;1061;4341;1061;;1025;329;1308;;;990;1334;4259;2220;;2054;;;;;;1411;;;;;;;;433;433;329;;433;;433;433;5076;;1280;1199;7695;4400;2500;1638;;;;;;;;;;;;;;;;;;;1566;;4212;;;;Epson;D/DX;DX9400F;home;;office;;desktop;1;0;0;1;1;0;1;1;1;0;0;0;1;0;0;A4;32;32;3;120;1;1;5760x1440;2,8 кг;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;90 сопла black/90 сопла, каждый цвет (голубой, пурпурный, желтый);Windows 98SE / ME / 2000 / XP / XP-x64 / Vista\nMac OS 10.2.8 +;460 x 410 x 236 мм ;13 Вт;39 дБ;12;ч.б. и цвет 30 симв/мин ;ч.б.300 точек на дюйм 2,2 мсек ,цвет 300 точек на дюйм 7,5 мс ;1200 x 2400 DPI;220-240 V;50 ~ 60 Гц;;;132,78;;;;;T0711-T0714 ;;;T0711-T0714 ;4;38,9;49,9;199,6;42,9;1499;299;510300;6999;1200;99;24,9;29,9;119,6;25,9;;;;;;;23,96;27,96;111,84;23,96;;108,75;456,37;92,95;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
344;164;36;16436;Epson Stylus DX7000F;;0;0;0;1;;0;0;0;0;0;;To urz?dzenie wielofunkcyjne drukuje, skanuje, kopiuje i faksuje. Stosunek ceny do oferowanej jako?ci jest znakomity. Nadaje si? ono doskonale do realizacji wi?kszych zlece? druku dokument?w, a ponadto drukuje zdj?cia wysokiej jako?ci. Tusze Epson DURABrite Ultra zapewniaj? trwa?e wydruki najwy?szej klasy. Dzi?ki oddzielnym wk?adom z tuszem koszty druku utrzymuj? si? na niskim poziomie. Dost?pna jest tak?e opcja drukowania zdj?? bezpo?rednio z karty pami?ci lub aparatu PictBridge, a program Epson PhotoEnhance sprawi, ?e b?d? one jeszcze lepsze.;;The Epson Stylus DX7000F printer is ideal for the home and small office user, offering a complete printing, copying and fax solution. It's as capable printing high-quality photos or printing high quality documents for the office.;This all-in-one prints, scans, copies and sends faxes too. And it’s great value. From high volume documents to high quality photos, it’s the ideal partner. Epson DURABrite Ultra ink creates superb, long-lasting results, and printing is affordable too with low cost individual ink cartridges. You can print directly from your memory card or PictBridge camera, and print an even better photo with Epson PhotoEnhance.;;;4659;;1112;1062;4342;1062;;1026;;;;;991;1335;1335;1335;1335;2049;1335;1335;;1335;1335;1335;;;;;;;;433;433;;;433;;433;433;5077;;1281;1200;7696;4401;2501;1639;;;;;;;;;;;;;;;;;;;1567;;4213;;;;Epson;D/DX;DX7000F;home;;office;;desktop;1;0;0;1;1;0;1;1;1;0;0;0;1;0;0;A4;27;27;3;100;1;1;5760x1440;6,9 кг;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;;Windows 98SE/ME/2000/XP/XP x64\nMac OS 10.2.8 +;463 x 344 x 178 мм ;16 Вт ;45 дБ;12;ч.б. и цвет 27 симв/мин ;;1200 x 2400 DPI;220-240V;50 ~ 60 Гц;;;122,54;;;;;T0711-T0714 ;;;T0711-T0714 ;4;38,9;49,9;199,6;42,9;;;;;;;24,9;29,9;119,6;25,9;;;;;;;23,96;27,96;111,84;23,96;;100,36;421,17;85,78;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
346;164;38;16438;Epson Stylus DX6000;;0;0;0;1;;0;0;0;0;0;;Za pomoc? urz?dzenia Epson Stylus DX6000 mo?esz w mgnieniu oka skopiowa? i zeskanowa? potrzebne materia?y, a tak?e zapisa? i wydrukowa? dokumenty oraz zdj?cia – a to wszystko bez konieczno?ci u?ycia komputera. Urz?dzenie jest wyposa?one w Tusze Epson DURABrite Ultra, kt?re zapewniaj? doskona?e i trwa?e barwy wszelkiego rodzaju wydruk?w. Koszty eksploatacji utrzymuj? si? na niskim poziomie, poniewa? dzi?ki zastosowaniu oddzielnych wk?ad?w z tuszem mo?na wymienia? tylko te kolory, kt?re zosta?y zu?yte. Dost?pna jest tak?e opcja drukowania zdj?? bezpo?rednio z karty pami?ci lub z aparatu PictBridge. Stare zdj?cia mo?na zeskanowa?, a nast?pnie przywr?ci? do dawnej ?wietno?ci za pomoc? programu Epson Easy Photo Fix™. A za spraw? 2-calowego wy?wietlacza LC drukowanie zdj?? jest nawet jeszcze prostsze.;;The Epson Stylus DX6000 printer is ideal for the home and small office user, offering a complete printing and copying solution for everyone. It provides high-quality direct printing using either memory card slots or Pictbridge, together with an LCD preview monitor for simple photo selection or simply used as a PC free colour photocopier.;Mit dem Epson Stylus DX6000 kopieren und scannen Sie im Handumdrehen, Sie speichern und drucken Dokumente und Fotos - alles auch ganz ohne PC. Das Ger?t verwendet die Epson DURABrite Ultra-Tinten und erzielt so erstklassige, haltbare Farben bei allen Ausdrucken. Die Kosten bleiben niedrig durch die separaten Individual Ink-Patronen, da Sie nur die verbrauchte Farbe auswechseln m?ssen. Sie k?nnen Fotos auch direkt von einer Speicherkarte oder einer PictBridge-Kamera drucken. Alte Fotos k?nnen Sie scannen und anschlie?end mit der Software Epson Easy Photo Fix™ wieder zu neuem Glanz bringen. Und durch das 2-Zoll-LC-Display wird der Fotodruck sogar noch einfacher.;;;4660;;1113;1063;4343;1063;;1027;429;1202;;;992;1336;4261;2192;;2047;;;;;;1413;;;;;;;;429/433;433;429;;433;;433;433;5078;;1282;1201;7697;4402;2502;1640;678;678;;;;;;;;;;;;;;;;;1568;;4214;;;;Epson;D/DX;DX6000;home;;office;;desktop;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;A4;27;27;3;100;1;1;5760x1440;6,5 кг;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;90 сопла каждого цвета;Windows 98SE/ME/2000/XP/XP x64 Edition, Mac OS 10.2.8+ ;463 x 354 x 181 мм;13 Вт;;12;ч.б и цвет 27 симв/мин ;A4 1200dpi 10.0mSec/line, цвета  A4 1200dpi 30.0mSec/line;1200 x 2400 DPI;220-240V;50 ~ 60 Гц;;;91,91;;;;;T0711-T0714 ;;;T0711-T0714 ;4;38,9;49,9;199,6;42,9;1499;299;510300;6999;1200;99;24,9;29,9;119,6;25,9;;;;;;;23,96;27,96;111,84;23,96;;75,28;315,9;64,34;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
348;164;40;16440;Epson Stylus DX5000;;0;0;0;1;;0;0;0;0;0;;Niezale?nie od tego, czy skanujesz i drukujesz dokumenty czarno-bia?e, czy kopiujesz kolorowe zdj?cia o wysokim po?ysku – zawsze mo?esz liczy? na najwy?sz? jako?? wydruku. A wszystko w szybki i prosty spos?b: dokumenty drukuj? si? z maksymaln? szybko?ci? 27 stron na minut?, a wydruk zdj?cia w formacie Premium 10 x 15 cm trwa zaledwie kilka sekund – nawet bez komputera.;;If you’re looking for the perfect combination of quality, flexibility and value for your home office, this is the all-in-one printer for you. It can print, scan or copy quickly and in superb Epson colour.Whether you’re scanning and printing black and white documents, or copying glossy photos, you can be sure of the highest quality output with this all-in-one. It’s so simple and fast – you can print documents at up to 27 pages per minute and print a 10x15cm photo in seconds – even without a PC.;Ob beim Scannen und Drucken von Schwarzwei?dokumenten oder beim Kopieren von Hochglanzfarbfotos, Sie k?nnen sich auf h?chste Qualit?t verlassen. Und alles geht einfach und schnell: Dokumente drucken Sie mit bis zu 27 Seiten pro Minute, und ein Foto im Premium-Format 10 x 15 cm dauert nur wenige Sekunden - sogar ohne PC.;;;4661;;1114;1064;4344;1064;;1028;429;1199;;;993;1337;4262;2190;;2045;;;;;;1414;;;;;;;;429/660;;429;;429;;;;5079;;1283;1202;7698;4403;2503;1641;678;678;;;;;;;;;;;;;;;;;1569;;4215;;;;Epson;D/DX;DX5000;home;;office;;desktop;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;A4;27;26;3;100;1;1;5760x1440;;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;;Windows 98SE/ME/2000/XP/XP x64, Mac OS 10.2.8;430 x 345 x 181 мм ; 13 Вт ;;12;ч.б.26 симв/мин,цвет 27 симв/мин ;ч.б. A4 1200dpi, 10.0msec/line ;1200 x 2400 DPI;220-240V;50 ~ 60 Гц;;;71,48;;;;;T0711-T0714 ;;;T0711-T0714 ;4;38,9;49,9;199,6;42,9;1499;299;510300;6999;1200;99;24,9;29,9;119,6;25,9;;;;;;;23,96;27,96;111,84;23,96;;58,55;245,68;50,036;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
349;164;41;16441;Epson Stylus DX4450;;0;0;0;1;;0;0;0;0;0;;Urz?dzenie Epson Stylus DX4400 umo?liwia elastyczne i ekonomiczne drukowanie w bardzo dobrej jako?ci. Najr??niejsze dokumenty i zdj?cia mo?na w praktyczny spos?b drukowa?, skanowa? i kopiowa? przy u?yciu jednego ma?ego urz?dzenia;;The Epson Stylus DX4450 offers a complete printing and copying solution for all the family. Ideal for all types of applications from school projects and web printing to photos. It can be used connected to your home PC or simply used as a colour photocopier in standalone mode.;;;;4662;;1115;1065;4345;1065;;1029;406;1205;;;994;1338;4263;2187;;2042;;;;;;1415;;;;;;;;329/660/406;329;433;329;329;;329;329;5080;;1284;1203;7699;4404;2504;1642;875/678;678;;;;;;;;;;;;;;;;;1570;;4216;;;;Epson;D/DX;DX4450;home;;office;;desktop;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;A4;25;13;4;80;1;1;5760x1440;5 кг;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;;Windows 98SE / ME / 2000 / XP / XP-x64 / Vista, Mac OS 10.2.8 ~;452 x 347 x 203 мм ;15.6 Вт;47 дБ ;12;ч.б.15 симв/мин ,цвет 7 симв/мин ;ч.б 300 dpi 4 msec/line,цвет 300 dpi 12 msec/line;600 x 1200 DPI ;220-240 V;50 ~ 60 Гц;;;61,27;;;;;T0711-T0714 ;;;T0711-T0714 ;4;38,9;49,9;199,6;42,9;1499;299;510300;6999;1370;132;24,9;29,9;119,6;25,9;;;;;;;23,96;27,96;111,84;23,96;;50,19;210,59;42,88;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
350;164;42;16442;Epson Stylus DX4400;;0;0;0;1;;0;0;0;0;0;;Urz?dzenie Epson Stylus DX4400 umo?liwia elastyczne i ekonomiczne drukowanie w bardzo dobrej jako?ci. Najr??niejsze dokumenty i zdj?cia mo?na w praktyczny spos?b drukowa?, skanowa? i kopiowa? przy u?yciu jednego ma?ego urz?dzenia;;The Epson Stylus DX4400 offers a complete printing and copying solution for all the family. Ideal for all types of applications from school projects and web printing to photos. It can be used connected to your home PC or simply used as a colour photocopier in standalone mode.;Mit dem Epson Stylus DX4400 drucken Sie flexibel und kosteng?nstig in hoher Qualit?t. Drucken, scannen und kopieren Sie verschiedenste Dokumente und Fotos ganz praktisch mit einem kompakten Ger?t.;;;4663;;1116;1066;4346;1066;;1030;406;1204;;;995;1339;4264;2186;;2041;;;;;;1416;;;;;;;;406;406;406;406;406;;406;406;5081;;1285;1204;7700;4405;2505;1643;;;;;;;;;;;;;;;;;;;1571;;4217;;;;Epson;D/DX;DX4400;home;;office;;desktop;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;A4;25;13;4;80;1;1;5760x1440;5 кг;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;;Windows 98SE / ME / 2000 / XP / XP-x64 / Vista, Mac OS 10.2.8 ~;452 x 347 x 203 мм;15.6 Вт;47 дБ;12;ч.б.15 симв/мин ,цвет 7 симв/мин ;ч.б 300 dpi 4 msec/line,цвет 300 dpi 12 msec/line;600 x 1200 DPI;220-240 V;50 ~ 60 Гц;;;61,27;;;;;T0711-T0714 ;;;T0711-T0714 ;4;38,9;49,9;199,6;42,9;1499;299;510300;6999;1370;132;24,9;29,9;119,6;25,9;;;;;;;23,96;27,96;111,84;23,96;;50,19;210,59;42,89;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
352;164;44;16444;Epson Stylus DX4000;;0;0;0;1;;0;0;0;0;0;;Epson Stylus DX4050 ??czy funkcje trzech urz?dze? w jednym. Za pomoc? tego niewielkiego urz?dzenia dost?pnego po przyst?pnej cenie mo?na drukowa?, kopiowa? i skanowa? wszelkiego rodzaju dokumenty: listy, kartki pocztowe, a nawet zdj?cia. Mo?esz zeskanowa? i zapisa? na komputerze ulubione zdj?cia, aby je wydrukowa? lub przekaza? innym. Tusze Epson DURABrite Ultra gwarantuj? wysokiej jako?ci wydruki, a oddzielne wk?ady z tuszem zapewniaj? ekonomiczne drukowanie: mo?na wymieni? tylko ten kolor, kt?ry zosta? zu?yty.;;The Epson DX4000 printer offers a complete printing and copying solution for the whole family. Ideal for all types of application, from school projects and web printing to photos, it can be used connected to your home PC or simply used as a colour photocopier in standalone mode.;Der Epson Stylus DX4000 vereinigt drei Ger?te in einem. Mit dieser kompakten, erschwinglichen L?sung k?nnen Sie Dokumente aller Art drucken, kopieren und scannen: Briefe, Gru?karten und sogar Fotos. Sie k?nnen Ihre Lieblingsfotos scannen und auf dem Computer speichern, um sie zu drucken oder weiterzugeben. Die Epson DURABrite Ultra-Tinten liefern Druckergebnisse hoher Qualit?t. Und die separaten Individual Ink-Patronen sorgen f?r kosteng?nstiges Drucken: Sie brauchen nur die verbrauchte Farbe zu ersetzen.;;;4664;;1117;1067;4347;1067;;1031;406;1203;;;996;1340;4265;2277;;2037;;;;;;1417;;;;;;;;660;660;406;;406;;;;5082;;1286;1205;7701;4406;2506;1644;678;678;;;;;;;;;;;;;;;;;1572;;4218;;;;Epson;D/DX;DX4000;home;;office;;desktop;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;A4;23;12;4;100;1;1;5760x1440;5,7 кг;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;90 сопла Black / 29x3 сопла цвета;Windows 98SE/ME/2000/XP/XP x64, Mac OS 10.2.8+;430 x 345 x 172 мм;10 Вт;;12;ч.б.12 симв/мин,цвет 5 симв/мин ;ч.б. A4 600dpi 5msec/line,цвет A4 600dpi 15msec/line;600 x 1200 DPI;220-240 V;50 ~ 60 Гц;;;61,27;;;;;T0711-T0714 ;;;T0711-T0714 ;4;38,9;49,9;199,6;42,9;1499;299;510300;6999;1370;132;24,9;29,9;119,6;25,9;;;;;;;23,96;27,96;111,84;23,96;;50,19;210,59;42,89;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
353;164;45;16445;Epson Stylus D92;;0;0;0;1;;0;0;0;0;0;;Drukarka Epson Stylus D92 umo?liwi szybki i prosty wydruk dokument?w, stron internetowych i zdj?? w ?ywych kolorach. Wyposa?ona jest w cztery oddzielne wk?ady z tuszem, wymianie podlegaj? jedynie zu?yte koloru. To umo?liwia oszcz?dne drukowanie.;;The Epson Stylus D92 is a first time or replacement purchase for home and home office users capable of producing a variety of prints from black only text to photographs.;Mit dem Epson Stylus D92 drucken Sie schnell und einfach Dokumente, Webseiten und Fotos in lebendigen Farben. Durch die vier separaten Individual Ink-Patronen m?ssen Sie nur die verbrauchte Farbe ersetzen. Dies macht Drucken kosteng?nstig.;;;4665;;1118;1068;4348;1068;;1032;;;;;997;1271;4266;2285;;2113;;;;;;1418;;;;;;;;660;660;;;;;;;5083;;1287;1206;7702;4407;2507;1645;678;678;;;;;;;;;;;;;;;;;1573;;4219;;;;Epson;D/DX;D92;home;;;;desktop;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;A4;25;13;4;80;0;1;5760x1440;2,8 кг;1;1;1;1;0;;photo;да;нет;нет;нет;нет;;;;;;Windows, Mac OS;435 х  219 х165 мм ;10  Вт ;45  дБ ;12;;;;220-240 V;50 ~ 60 Гц;;;40,84;;1;;;T0711-T0714 ;;;T0711-T0714 ;4;38,9;49,9;199,6;42,9;;;;;;;24,9;29,9;119,6;25,9;;;;;;;23,96;27,96;111,84;23,96;;33,45;140,37;28,59;;;;;;;;;;;;;;;;;;;;;1;0.25;0.5;
